Regional Name,Year,# Taxa,Score,Recommendation,Notes,Downloaded?,FQA Name in App,Citation,Download Notes,Link,Summary
Louisiana (Coastal Prairie) 2006 ,2006,591,5,YES,Coastal Marshes Only,YES-Universal FQA,louisiana_coastal_prairie_2006,"Cretini, K. F., Visser, J. M., Krauss, K. W., & Steyer, G. D. (2012). Development and use of a floristic quality index for coastal Louisiana marshes. Environmental monitoring and assessment, 184(4), 2389-2403.",,,
Maine/New Brunswick Plains and Hills (8.1.8) 2018,2018,2300,4,"Yes, with reservations",NA,YES-Universal FQA,maine_new_brunswick_2018,"Faber-Langendoen, D., Cameron, D., Gilman, A. V., Metzler, K. J., Ring, R. M., & Sneddon, L. (2019). Development of an Ecoregional Floristic Quality Assessment Method for the Northeastern United States. Northeastern Naturalist, 26(3), 593-608.",,,
Michigan 2014,2014,2871,5,YES,NA,YES-Universal FQA,michigan_2014,"Reznicek, A.A., M.R. Penskar, B.S. Walters, and B.S. Slaughter. 2014. Michigan Floristic Quality Assessment Database. Herbarium, University of Michigan, Ann Arbor, MI and Michigan Natural Features Inventory, Michigan State University, Lansing, MI. http://michiganflora.net",,,
"Mid-Atlantic Allegheny Plateau (non-glaciated) 2012, VA, MD, PA",2012,1506,5,YES,Natives Only,YES-Universal FQA,mid_atlantic_allegheny_plateau_nonglaciated_2012,"Chamberlain, S. J., & Ingram, H. M. (2012). Developing coefficients of conservatism to advance floristic quality assessment in the Mid-Atlantic region. The Journal of the Torrey Botanical Society, 139(4), 416-427.",,,
"Mid-Atlantic Appalachian Plateau (glaciated) 2012, WV, PA",2012,2135,5,YES,Natives Only,YES-Universal FQA,mid_atlantic_allegheny_plateau_glaciated_2012,"Chamberlain, S. J., & Ingram, H. M. (2012). Developing coefficients of conservatism to advance floristic quality assessment in the Mid-Atlantic region. The Journal of the Torrey Botanical Society, 139(4), 416-427.",,,
"Mid-Atlantic Coastal Plain 2012, DE, MD, VA",2012,2086,5,YES,NA,YES-Universal FQA,mid_atlantic_coastal_plain_2012,"Chamberlain, S. J., & Ingram, H. M. (2012). Developing coefficients of conservatism to advance floristic quality assessment in the Mid-Atlantic region. The Journal of the Torrey Botanical Society, 139(4), 416-427.",did  download version with invasives,,
"Mid-Atlantic Piedmont Region 2012, PA, MD, VA",2012,2029,5,YES,NA,YES-Universal FQA,mid_atlantic_piedmont_2012,"Chamberlain, S. J., & Ingram, H. M. (2012). Developing coefficients of conservatism to advance floristic quality assessment in the Mid-Atlantic region. The Journal of the Torrey Botanical Society, 139(4), 416-427.",did download version with invasives,,
"Mid-Atlantic Ridge and Valley Region 2012, PA, MD, VA, WV",2012,2048,5,YES,Natives Only,YES-Universal FQA,mid_atlantic_ridge_valley_2012,"Chamberlain, S. J., & Ingram, H. M. (2012). Developing coefficients of conservatism to advance floristic quality assessment in the Mid-Atlantic region. The Journal of the Torrey Botanical Society, 139(4), 416-427.",,,
Minnesota Wetlands 2007,2007,1266,5,YES,Wetlands Only,YES-Universal FQA,minnesota_wetlands_2007,"Milburn, S. A., Bourdaghs, M. K., & Husveth, J. J. (2007). Floristic quality assessment for Minnesota wetlands. Minnesota Pollution Control Agency.",,,
Mississippi - North/Central Wetlands 2005,2005,411,5,YES,Wetlands Only,YES-Brook,mississippi_north_central_wetlands_2005,"Herman, B. D., Madsen, J. D., & Ervin, G. N. (2006). Development of coefficients of conservatism for wetland vascular flora of north and central Mississippi. Geo Resources Institute Report, 4001.",possibly not final version,,
Missouri 2015,2015,2960,5,YES,NA,YES-Universal FQA,missouri_2015,"Ladd, D., & Thomas, J. R. (2015). Ecological checklist of the Missouri flora for floristic quality assessment. Phytoneuron, 12(1), 1-274.",,,
Montana,2017,1930,5,YES,NA,YES-online,montana_2017,"Pipp, Andrea. 2017. Coefficient of Conservatism Rankings for the Flora of Montana: Part III.December 15th. Report to the Montana Department of Environmental Quality, Helena,Montana. Prepared by the Montana Natural Heritage Program, Helena, Montana. 107 pp.",no acronym,https://mtnhp.org/Plants/,
Nebraska 2003,2003,2071,5,YES,NA,YES-Universal FQA,nebraska_2003,"Rolfsmeier, S. and G. Steinauer. 2003. Vascular Plants of Nebraska (Version I - July 2003). Nebraska Natural Heritage Program, Nebraska Game and Parks Commission. Lincoln, Nebraska. 57 pp. Updated 2013.",,,
New Jersey 2019,2019,4700,5,YES,NA,YES-Universal FQA,new_jersey_2019,"Walz, Kathleen S., Linda Kelly, Karl Anderson, Keith Bowman, Barbara Andreas, Richard Andrus, Scott Schuette, William Schumacher, Sean Robinson, Terry O'Brien, Eric Karlin and Jason Hafstad. 2018. Universal Floristic Quality Assessment Index for Vascular Plants and Mosses of New Jersey: Coefficient of Conservancy (CoC) Values for Species and Genera (Updated November 2019). New Jersey Department of Environmental Protection, New Jersey Forest Service, Office of Natural Lands Management, Trenton, NJ, 08625. Submitted to United States Environmental Protection Agency, Region 2, for State Wetlands Protection Development Grant, Section 104(B)(3); CFDA No. 66.461, CD97225809.",,,
New Mexico's Middle Rio Grande 2019,2019,612,5,YES,NA,YES-Universal FQA,new_mexico_middle_rio_grande_2019,"Jessica L. Stern, Brook D. Herman, Jeffrey W. Matthews ""COEFFICIENTS OF CONSERVATISM FOR THE FLORA OF THE MIDDLE RIO GRANDE FLOODPLAIN,"" The Southwestern Naturalist, 65(2), 141-151, (3 November 2021)", ,,"partially based on ECOREGION LEVEL 4, but had to be edited by hand. Based on figure in publication"
"Northeastern Coastal Zone (8.1.7) 2017, 2018",2018,2735,4,YES,NA,YES-Universal FQA,northeastern_coastal_2018,"Faber-Langendoen, D., Cameron, D., Gilman, A. V., Metzler, K. J., Ring, R. M., & Sneddon, L. (2019). Development of an Ecoregional Floristic Quality Assessment Method for the Northeastern United States. Northeastern Naturalist, 26(3), 593-608.",,,
"Northern Appalachian and Atlantic Maritime Highlands (5.3.1) 2017, 2018",2018,2999,5,YES,NA,YES-Universal FQA,northern_appalachian_atlantic_maritime_highlands_2018,"Faber-Langendoen, D., Cameron, D., Gilman, A. V., Metzler, K. J., Ring, R. M., & Sneddon, L. (2019). Development of an Ecoregional Floristic Quality Assessment Method for the Northeastern United States. Northeastern Naturalist, 26(3), 593-608.",,,
"Pennsylvania Piedmont 2006, 2013",2013,3419,5,YES,NA,YES-Universal FQA,pennsylvania_piedmont_2013,"Chamberlain, S. J., & Ingram, H. M. (2012). Developing coefficients of conservatism to advance floristic quality assessment in the Mid-Atlantic region. The Journal of the Torrey Botanical Society, 139(4), 416-427.",,,
Piedmont region (EAP Ecoregion 45) 2013,2013,2029,5,YES,Wetlands Only,YES-online,southeastern_piedmont_2013,"Gianopulos, K. (2014). Coefficient of Conservatism Database Development for Wetland Plants Occurring in the Southeastern United States. North Carolina Dept. of Environment & Natural Resources, Division of Water Resources: Wetlands Branch. Report to the EPA, Region, 4.",https://www.ncwetlands.org/project/coefficient_conservatism/,,
Southern Coastal Plain (EPA Ecoregion 75) 2013,2013,4603,5,YES,Wetlands Only,YES-Universal FQA,southern_coastal_plain_2013,"Gianopulos, K. 2014. Coefficient of Conservatism Database Development for Wetland Plants Occurring in the Southeast United States. NC Dept. of Envir. Quality, Div. of Water Resources: Wetlands Branch. Report to the EPA.",https://www.ncwetlands.org/project/coefficient_conservatism/,,
Texas Blackland Prairies 2019,2019,492,5,YES,NA,YES-Universal FQA,texas_blackland_prairie_2019,"Reemts, C. M., & Eidson, J. A. (2019). Choosing Plant Diversity Metrics: A Tallgrass Prairie Case Study. Ecological Restoration, 37(4), 233-245. (include supplemental information)",,,"Map not explixit, used bioregion"
WA - Eastern Washington State (Columbia Basin) 2013,2013,2734,5,YES,NA,YES-Universal FQA,eastern_washington_columbia_basin_2013,"F. J. Rocchio and R. C. Crawford. 2013. Floristic Quality Assessment for Washington Vegetation. Washington Natural Heritage Program, Washington Department of Natural Resources, Olympia, Washington. Baseline nomenclature: USDA PLANTS",,,Based on eastern Wa counties and ecoregion level 3
WA - Eastern Washington State (Mountains) 2013,2013,2734,5,YES,NA,YES-Universal FQA,eastern_washington_mountains_2013,"F. J. Rocchio and R. C. Crawford. 2013. Floristic Quality Assessment for Washington Vegetation. Washington Natural Heritage Program, Washington Department of Natural Resources, Olympia, Washington. Baseline nomenclature: USDA PLANTS",,,Based on eastern Wa counties and ecoregion level 3
WA - Western Washington State 2013,2013,2218,5,YES,NA,YES-Universal FQA,western_washington_2013,"F. J. Rocchio and R. C. Crawford. 2013. Floristic Quality Assessment for Washington Vegetation. Washington Natural Heritage Program, Washington Department of Natural Resources, Olympia, Washington. Baseline nomenclature: USDA PLANTS",,,Based on western WA counties
West Virginia 2015,2015,2827,5,YES,NA,YES-Universal FQA,west_virginia_2015,"Rentch, J.S. and J.T. Anderson. 2006. A floristic quality index for West Virginia wetland and riparian plant communities. Division of Forestry and Natural Resources, West Virginia University, Morgantown, WV.",,,
Wisconsin (WDNR)-MW Wetland region (Southwestern and Southeastern Wisconsin) 2017,2017,3443,5,YES,NA,YES-Universal FQA,wisconsin_wetland_southwestern_southeastern_2017,"WDNR FQA Calculator v1.5.17. Chung-Gibson, M., Bernthal T., DoyleK., Wetter, M., Haber, E. (2017). Wisconsin Department of Natural Resources, Water QualityBureau.",,,Based on wetland dilination
Wisconsin (WDNR)-NCNE Wetland Region (Northern and South-central Wisconsin) 2017,2017,3443,5,YES,NA,YES-Universal FQA,wisconsin_wetland_northern_southcentral_2017,"WDNR FQA Calculator v1.5.17. Chung-Gibson, M., Bernthal T., DoyleK., Wetter, M., Haber, E. (2017). Wisconsin Department of Natural Resources, Water QualityBureau.",,,Based on wetland dilination
Wyoming’s Wetland Flora,2017,1296,5,YES,Wetlands Only,YES-online,wyoming_2017,"Washkoviak L, Heidel, B, and Jones, G (2017). Floristic Quality Assessment for Wyoming Flora: Developing Coefficients of Conservatism. Prepared for the U.S. Army Corps of Engineers. The Wyoming Natural Diversity Database, Laramie, Wyoming. 13 pp. plus appendices.",no acronym,https://wyndd.org/species_list/?c_value=All&wy_occur=Regular%2CIrregular&wy_origin=Native%2CNonnative&res_status=Current&tax_level=Species%2CSubspecies%2FVariety&columns=sciname%2Ccomname%2Csynonyms%2Ctaxgroup%2Ctaxgroup2%2Cc_value%2Cwy_origin&loc_settings=documentedObs%2Cdist_mod%2Cregular%2Cirregular&servicePrefix=prod_,
Ohio 2014,2014,,,YES,NA,YES-online,ohio_2014,"Andreas, Barbara K., John J. Mack, and James S. McCormac. 2004. Floristic Quality
Assessment Index (FQAI) for vascular plants and mosses for the State of Ohio. Ohio
Environmental Protection Agency, Division of Surface Water, Wetland Ecology Group,
Columbus, Ohio. 219 p.",,https://ohioplants.org/fqai/,
